id;qualification;year_of_passing;institution;university;enrollment_no;score;percentage
1;input world-class hacking;RSS Aruba;full-range;Fantastic Wooden Towels generate Toys;41656;6133;52251
2;Handmade Frozen Mouse Diverse;Home;Team-oriented Movies;lavender contingency alarm;64063;74189;41594
3;index Money Market Account National;port compressing Keyboard;customized Assistant;Manager input;39319;54247;59063
4;withdrawal;relationships;driver Ball haptic;web-enabled Checking Account;48186;26532;36171
5;Response payment;quantify;haptic;Bedfordshire holistic Division;82750;15902;69720
6;bandwidth;solid state Metal;bus;global Jewelery Intelligent Wooden Pants;21339;33561;66514
7;Pizza Metal input;Michigan Infrastructure Bedfordshire;Avon Buckinghamshire;circuit implement;2519;78217;83899
8;Jewelery;Personal Loan Account indexing Intelligent;firewall calculating;Venezuela Australia;42959;50479;30883
9;Cambridgeshire Wooden Data;Uruguay architect Fresh;back-end Guyana Dollar Money Market Account;SAS;67270;50151;79668
10;Fully-configurable;Intranet transmitting;Investor Computers Chilean Peso Unidades de fomento;salmon;1979;28763;39068
